tf,condition,reporterFC,replicate,logFC,p_adjusted,sig,ctrl_activity
AHR::ARNT,mES_CH,-0.0757220758358269,R1,-0.143413457053819,0.908130000950612,NS,-2.18987699219359
AHR::ARNT,mES_CH,0.229681224476791,R2,-0.143413457053819,0.908130000950612,NS,-2.18987699219359
AHR::ARNT,mES_CH,-0.566651092305533,R3,-0.143413457053819,0.908130000950612,NS,-2.18987699219359
AHR::ARNT,mES_FOXA1_OE,0.345392865518014,R3,0.328294657978282,0.92869572764428,NS,-2.14694794800145
AHR::ARNT,mES_LIF,0.336954096879293,R1,-0.306137016034605,0.624311823964817,NS,-2.18336326559886
AHR::ARNT,mES_LIF,0.435384438674803,R2,-0.306137016034605,0.624311823964817,NS,-2.18336326559886
AHR::ARNT,mES_LIF,0.299057853415859,R3,-0.306137016034605,0.624311823964817,NS,-2.18336326559886
AHR::ARNT,mES_POU5F1_DEG,0.578705870254579,R1,-0.22756029238387,0.652642869048641,NS,-2.33046986409475
AHR::ARNT,mES_POU5F1_DEG,-0.216283445212314,R2,-0.22756029238387,0.652642869048641,NS,-2.33046986409475
AHR::ARNT,mES_SOX2_DEG,0.0588715392384181,R1,-0.397736064830295,0.311129664481955,NS,-2.20056342076079
AHR::ARNT,mES_SOX2_DEG,-0.146806512808418,R2,-0.397736064830295,0.311129664481955,NS,-2.20056342076079
AR,mES_CH,-0.340871102252469,R1,-0.0412839618756966,0.968371354433597,NS,-0.609058523773289
AR,mES_CH,-0.119832741626108,R2,-0.0412839618756966,0.968371354433597,NS,-0.609058523773289
AR,mES_CH,0.295128107382962,R3,-0.0412839618756966,0.968371354433597,NS,-0.609058523773289
AR,mES_FOXA1_OE,-0.762509493154895,R3,0.861779721941016,0.789720059729306,NS,-2.68271242172291
AR,mES_LIF,0.331027677272244,R1,0.329265700542341,0.768745598943699,NS,-0.459241839955245
AR,mES_LIF,0.532880111121536,R2,0.329265700542341,0.768745598943699,NS,-0.459241839955245
AR,mES_LIF,1.37687619204102,R3,0.329265700542341,0.768745598943699,NS,-0.459241839955245
AR,mES_POU5F1_DEG,-0.715317270475575,R1,-0.828312213882648,0.252296003771503,NS,-3.11154459970383
AR,mES_POU5F1_DEG,0.21419060518227,R2,-0.828312213882648,0.252296003771503,NS,-3.11154459970383
AR,mES_SOX2_DEG,-0.338057901460827,R1,0.544500415062547,0.571482764304678,NS,-1.02358753176829
AR,mES_SOX2_DEG,1.54463392904014,R2,0.544500415062547,0.571482764304678,NS,-1.02358753176829
ATF2,mES_CH,1.74669963127537,R1,0.236525043943328,0.908130000950612,NS,-1.37955436951964
ATF2,mES_CH,-1.23747026608605,R2,0.236525043943328,0.908130000950612,NS,-1.37955436951964
ATF2,mES_CH,0.631239346570502,R3,0.236525043943328,0.908130000950612,NS,-1.37955436951964
ATF2,mES_FOXA1_OE,-0.461064241301456,R3,0.577136501420924,0.922631756910257,NS,-3.52598909247943
ATF2,mES_LIF,2.30838919476407,R1,0.707574981263899,0.392037494231172,NS,-1.38594911196036
ATF2,mES_LIF,-0.0905236209219155,R2,0.707574981263899,0.392037494231172,NS,-1.38594911196036
ATF2,mES_LIF,0.458912970989238,R3,0.707574981263899,0.392037494231172,NS,-1.38594911196036
ATF2,mES_POU5F1_DEG,0.966061022437394,R2,-0.490708114323791,0.620399033732159,NS,-3.62593366738424
ATF2,mES_SOX2_DEG,-0.75047788536043,R1,-0.754690920877808,0.323968297792402,NS,-0.366692310376362
ATF2,mES_SOX2_DEG,0.117194010696255,R2,-0.754690920877808,0.323968297792402,NS,-0.366692310376362
ATF4,mES_CH,0.24547246839259,R1,0.0332175947217956,0.908130000950612,NS,2.08602434756733
ATF4,mES_CH,-0.324190675936396,R2,0.0332175947217956,0.908130000950612,NS,2.08602434756733
ATF4,mES_CH,0.0415273491553321,R3,0.0332175947217956,0.908130000950612,NS,2.08602434756733
ATF4,mES_FOXA1_OE,-0.825600999764716,R3,-0.436733079575817,0.82062655765857,NS,1.79968704078416
ATF4,mES_LIF,0.589806812817172,R1,0.351381897344822,0.0706582714740318,NS,2.09377976272957
ATF4,mES_LIF,0.0785704890819203,R2,0.351381897344822,0.0706582714740318,NS,2.09377976272957
ATF4,mES_LIF,0.543764723349014,R3,0.351381897344822,0.0706582714740318,NS,2.09377976272957
ATF4,mES_POU5F1_DEG,-0.441075435475095,R1,-0.449969740021172,0.252296003771503,NS,0.555311936395341
ATF4,mES_POU5F1_DEG,0.0683891974087842,R2,-0.449969740021172,0.252296003771503,NS,0.555311936395341
ATF4,mES_SOX2_DEG,0.901725728399815,R1,1.28125915421513,9.6277852818743e-8,Upregulated,1.99135985014342
ATF4,mES_SOX2_DEG,1.66654042411644,R2,1.28125915421513,9.6277852818743e-8,Upregulated,1.99135985014342
ATF6,mES_CH,0.533752504692281,R1,0.0859203222272394,0.908130000950612,NS,0.249251344885013
ATF6,mES_CH,-0.243222834112738,R2,0.0859203222272394,0.908130000950612,NS,0.249251344885013
ATF6,mES_CH,-0.778484577267295,R3,0.0859203222272394,0.908130000950612,NS,0.249251344885013
ATF6,mES_FOXA1_OE,-0.0102581120319161,R3,0.586997578970789,0.789720059729306,NS,-1.04382932309037
ATF6,mES_LIF,0.578503762114265,R1,-0.0366274100686756,0.980345129532246,NS,0.258753506771571
ATF6,mES_LIF,-0.385383206915187,R2,-0.0366274100686756,0.980345129532246,NS,0.258753506771571
ATF6,mES_LIF,-0.256922284031783,R3,-0.0366274100686756,0.980345129532246,NS,0.258753506771571
