mES_2i_LIF_r3	mES_2i_LIF_r2	mES_2i_LIF_r1	mES_2i_r1	mES_2i_r2	mES_2i_r3
0	1	0	5	0	0
0	0	2	0	0	2
2	6	25	17	10	1
3185	3354	3063	3633	3835	3032
623	797	679	943	954	813
817	999	1017	1061	967	777
1	2	2	4	5	7
591	808	822	855	806	554
0	1	1	0	1	0
550	910	1013	1204	949	554
0	0	0	0	1	0
0	0	0	6	0	0
1111	1409	1347	1575	1660	1199
0	0	2	1	1	1
3530	3447	3327	3326	3174	2697
27	27	27	16	25	20
314	516	537	589	529	306
546	806	877	847	851	453
332	381	235	354	511	467
13	28	4	4	12	10
36	56	30	26	49	27
2	0	0	1	0	0
1321	1579	1639	1604	1461	1192
1057	1338	1324	1333	1222	935
761	1128	1023	1057	1118	684
0	3	1	0	0	0
678	852	881	774	840	559
93	137	90	162	157	91
612	909	827	1870	1706	1157
38	77	63	83	102	60
576	565	301	194	362	391
798	1010	860	1014	1097	766
692	951	913	882	931	743
1741	2236	1826	1286	1811	1352
0	2	0	0	2	0
246	301	274	96	115	100
142	205	106	37	59	78
46	36	20	12	29	20
0	1	1	0	0	0
3404	4019	4129	3557	3901	3334
0	0	0	0	1	0
0	0	1	0	0	0
12115	14085	15856	13554	13739	10908
51	68	85	79	62	55
53	74	61	83	116	81
204	303	253	185	238	171
569	664	679	583	740	570
284	278	221	234	255	205
4	1	6	1	2	4
15	18	22	79	41	33
4	3	3	1	2	1
0	0	0	0	0	1
14	30	28	32	40	21
0	0	0	2	0	0
15	9	10	21	19	14
7	4	4	5	1	2
11202	12476	11185	10672	10976	8915
112	191	148	140	116	57
28	36	21	27	35	34
216	319	210	221	302	207
56	49	27	44	51	39
221	197	180	125	219	215
1	0	0	0	0	0
0	0	0	0	1	0
0	1	0	0	0	0
2	3	1	0	1	6
93	84	52	30	50	62
177	171	159	284	290	191
1	0	1	0	3	0
793	998	859	950	919	668
48	57	47	37	69	72
231	427	326	484	375	243
0	0	0	0	0	2
104	159	146	139	145	118
3	1	2	5	1	1
5359	7336	7414	7454	6488	4448
28	24	21	29	33	17
17	17	22	11	17	8
