"reporter_id","promoter","library","gcf","cell","condition","stimulation","reference_condition","target","effect_size","off_target","tf","spacing","distance","background","commercial_reporter","neg_ctrls","hPGK","native_enhancer","rand_promoter","tf_target","reporter_activity_minP","reporter_dif_minP","reporter_activity_minP_gcf","reporter_activity_neg","reference_activity_gcf","reference_activity_minP"
"AHR::ARNT_10bp_10bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","10bp",1,"No","No","No","No","No",0,1.28568762958682,0.633235692147722,1.28568762958682,1.03481123248666,-0.270696453490045,-0.270696453490045
"AHR::ARNT_10bp_10bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","10bp",1,"No","No","No","No","No",NA,0.936091512396829,NA,0.936091512396829,0.51591882749642,NA,NA
"AHR::ARNT_10bp_10bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","10bp",2,"No","No","No","No","No",0,1.20698509551434,-0.883822888147333,1.20698509551434,0.839522669313358,1.11009333669934,1.11009333669934
"AHR::ARNT_10bp_10bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","10bp",2,"No","No","No","No","No",NA,2.13457568717644,NA,2.13457568717644,2.25822970295965,NA,NA
"AHR::ARNT_10bp_10bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","10bp",3,"No","No","No","No","No",0,1.4199059525814,-0.262835871683789,1.4199059525814,0.799112487311965,0.722749827764983,0.722749827764983
"AHR::ARNT_10bp_10bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","10bp",3,"No","No","No","No","No",NA,1.6102890557498,NA,1.6102890557498,0.529965786408999,NA,NA
"AHR::ARNT_10bp_10bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","10bp",1,"No","No","No","No","No",0,1.3328210859722,-0.238028251019305,1.3328210859722,1.25540981516767,0.616427479923396,0.616427479923396
"AHR::ARNT_10bp_10bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","10bp",1,"No","No","No","No","No",NA,1.55170813869505,NA,1.55170813869505,3.10893558336316,NA,NA
"AHR::ARNT_10bp_10bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","10bp",2,"No","No","No","No","No",0,1.85433104213097,0.270433903515062,1.85433104213097,1.66611881791333,0.399455724138998,0.399455724138998
"AHR::ARNT_10bp_10bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","10bp",2,"No","No","No","No","No",NA,1.32677639340492,NA,1.32677639340492,1.98914019479071,NA,NA
"AHR::ARNT_10bp_10bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","10bp",3,"No","No","No","No","No",0,1.49714119253024,-0.518391258662989,1.49714119253024,1.77761332108304,0.926117866354566,0.926117866354566
"AHR::ARNT_10bp_10bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","10bp",3,"No","No","No","No","No",NA,1.85477437422963,NA,1.85477437422963,2.73515987792509,NA,NA
"AHR::ARNT_10bp_21bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","21bp",1,"No","No","No","No","No",0,1.14800310481868,0.124574029957433,1.14800310481868,0.848036035001919,0.0634087640395994,0.0634087640395994
"AHR::ARNT_10bp_21bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","21bp",1,"No","No","No","No","No",NA,1.05677099733566,NA,1.05677099733566,0.751823336662731,NA,NA
"AHR::ARNT_10bp_21bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","21bp",2,"No","No","No","No","No",0,3.36090588031319,0.800039014828309,3.36090588031319,2.44127338807057,0.938119595004995,0.938119595004995
"AHR::ARNT_10bp_21bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","21bp",2,"No","No","No","No","No",NA,1.80677508591244,NA,1.80677508591244,1.34186250676043,NA,NA
"AHR::ARNT_10bp_21bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","21bp",3,"No","No","No","No","No",0,0.832298849407072,-0.48840533811873,0.832298849407072,0.771790230733268,0.164063281893283,0.164063281893283
"AHR::ARNT_10bp_21bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","21bp",3,"No","No","No","No","No",NA,1.13249586832752,NA,1.13249586832752,1.28125512060946,NA,NA
"AHR::ARNT_10bp_21bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","21bp",1,"No","No","No","No","No",0,1.32582465232136,0.387592098224215,1.32582465232136,1.28759778738925,0.0100106548228081,0.0100106548228081
"AHR::ARNT_10bp_21bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","21bp",1,"No","No","No","No","No",NA,1.04264926051622,NA,1.04264926051622,0.926533382012455,NA,NA
"AHR::ARNT_10bp_21bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","21bp",2,"No","No","No","No","No",0,0.825022078608665,0.440735792696521,0.825022078608665,0.541989785254755,-0.726530522714746,-0.726530522714746
"AHR::ARNT_10bp_21bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","21bp",2,"No","No","No","No","No",NA,0.73023825687737,NA,0.73023825687737,0.788976156189,NA,NA
"AHR::ARNT_10bp_21bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","21bp",3,"No","No","No","No","No",0,1.07783171618759,0.0858343951404658,1.07783171618759,0.809518506441336,-0.0115036187003461,-0.0115036187003461
"AHR::ARNT_10bp_21bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","21bp",3,"No","No","No","No","No",NA,0.982850445937707,NA,0.982850445937707,0.809293575831166,NA,NA
"AHR::ARNT_10bp_21bp_Random_1","Random","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","10bp","21bp",1,"No","No","No","No","Yes",0,1.04762677491854,-0.267619266400889,1.04762677491854,1.18683945752352,0.334010804603463,0.334010804603463
"AHR::ARNT_10bp_21bp_Random_1","Random","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","10bp","21bp",1,"No","No","No","No","Yes",NA,1.29986290329327,NA,1.29986290329327,1.19013370852968,NA,NA
"AHR::ARNT_5bp_10bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","10bp",1,"No","No","No","No","No",0,1.37116727766116,0.373812893623316,1.37116727766116,0.830262484644247,0.0782088452375147,0.0782088452375147
"AHR::ARNT_5bp_10bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","10bp",1,"No","No","No","No","No",NA,1.14264707981523,NA,1.14264707981523,1.04103382302172,NA,NA
"AHR::ARNT_5bp_10bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","10bp",2,"No","No","No","No","No",0,2.13668107964719,0.046773130632975,2.13668107964719,2.82362833201716,1.0206731054185,1.0206731054185
"AHR::ARNT_5bp_10bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","10bp",2,"No","No","No","No","No",NA,2.03055843706044,NA,2.03055843706044,2.50883262860127,NA,NA
"AHR::ARNT_5bp_10bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","10bp",3,"No","No","No","No","No",0,0.638542585151829,0.262981045736532,0.638542585151829,0.58337545739415,-0.914323520279662,-0.914323520279662
"AHR::ARNT_5bp_10bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","10bp",3,"No","No","No","No","No",NA,0.769063113691137,NA,0.769063113691137,0.697574571411499,NA,NA
"AHR::ARNT_5bp_10bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","10bp",1,"No","No","No","No","No",0,1.08746585640302,-0.18966142382519,1.08746585640302,0.511785765742049,0.157453640885217,0.157453640885217
"AHR::ARNT_5bp_10bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","10bp",1,"No","No","No","No","No",NA,1.13079985415932,NA,1.13079985415932,0.782291485775907,NA,NA
"AHR::ARNT_5bp_10bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","10bp",2,"No","No","No","No","No",0,1.86456616019172,-0.0415212501097485,1.86456616019172,1.6183248950468,0.938986581895438,0.938986581895438
"AHR::ARNT_5bp_10bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","10bp",2,"No","No","No","No","No",NA,1.92553170963276,NA,1.92553170963276,1.6018031339766,NA,NA
"AHR::ARNT_5bp_10bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","10bp",3,"No","No","No","No","No",0,0.72808821093784,0.126018743776796,0.72808821093784,0.742534137699781,-0.588103642083507,-0.588103642083507
"AHR::ARNT_5bp_10bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","10bp",3,"No","No","No","No","No",NA,0.720367351298215,NA,0.720367351298215,0.856790551081248,NA,NA
"AHR::ARNT_5bp_21bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","21bp",1,"No","No","No","No","No",0,1.46447937131886,-0.0522053222125952,1.46447937131886,1.08087034824743,0.511744287359909,0.511744287359909
"AHR::ARNT_5bp_21bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","21bp",1,"No","No","No","No","No",NA,1.48189096571576,NA,1.48189096571576,0.815988616363032,NA,NA
"AHR::ARNT_5bp_21bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","21bp",2,"No","No","No","No","No",0,2.61826714150889,0.0951739301754816,2.61826714150889,1.61448838486091,1.22622275405705,1.22622275405705
"AHR::ARNT_5bp_21bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","21bp",2,"No","No","No","No","No",NA,2.35533846449172,NA,2.35533846449172,2.10615139431682,NA,NA
"AHR::ARNT_5bp_21bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","21bp",3,"No","No","No","No","No",0,0.80609055886092,-0.288081474298312,0.80609055886092,0.428015688242394,-0.326491494804775,-0.326491494804775
"AHR::ARNT_5bp_21bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","21bp",3,"No","No","No","No","No",NA,0.834652967744703,NA,0.834652967744703,0.487107610613857,NA,NA
"AHR::ARNT_5bp_21bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","21bp",1,"No","No","No","No","No",0,0.775814895916503,0.0501382407675638,0.775814895916503,0.835770464643487,-0.678878332244333,-0.678878332244333
"AHR::ARNT_5bp_21bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","21bp",1,"No","No","No","No","No",NA,0.701757448793885,NA,0.701757448793885,0.784637153456885,NA,NA
"AHR::ARNT_5bp_21bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","21bp",2,"No","No","No","No","No",0,1.61393065621384,-0.0708271814493583,1.61393065621384,1.28386335050158,0.742026735451843,0.742026735451843
"AHR::ARNT_5bp_21bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","21bp",2,"No","No","No","No","No",NA,1.68274898466762,NA,1.68274898466762,2.06787799677522,NA,NA
"AHR::ARNT_5bp_21bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT","5bp","21bp",3,"No","No","No","No","No",0,0.846681577863328,-0.167145594924179,0.846681577863328,0.551763968756168,-0.100349858273475,-0.100349858273475
"AHR::ARNT_5bp_21bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT","5bp","21bp",3,"No","No","No","No","No",NA,0.958604479636651,NA,0.958604479636651,0.536416245517485,NA,NA
"AHR::ARNT_neg_10bp_10bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","10bp",1,"No","Yes","No","No","No",NA,1.33264161774904,NA,1.33264161774904,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","10bp",1,"No","Yes","No","No","No",NA,1.96368433759845,NA,1.96368433759845,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","10bp",2,"No","Yes","No","No","No",NA,1.36005738894002,NA,1.36005738894002,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","10bp",2,"No","Yes","No","No","No",NA,1.04610160558789,NA,1.04610160558789,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","10bp",3,"No","Yes","No","No","No",NA,1.69284896694747,NA,1.69284896694747,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","10bp",3,"No","Yes","No","No","No",NA,2.88314088035479,NA,2.88314088035479,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","10bp",1,"No","Yes","No","No","No",NA,1.08355937093585,NA,1.08355937093585,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","10bp",1,"No","Yes","No","No","No",NA,0.875645211104832,NA,0.875645211104832,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","10bp",2,"No","Yes","No","No","No",NA,1.29224058986462,NA,1.29224058986462,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","10bp",2,"No","Yes","No","No","No",NA,0.798414189849651,NA,0.798414189849651,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","10bp",3,"No","Yes","No","No","No",NA,1.17887944669235,NA,1.17887944669235,NA,NA,NA
"AHR::ARNT_neg_10bp_10bp_minP_3","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","10bp",3,"No","Yes","No","No","No",NA,0.77504906978071,NA,0.77504906978071,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","21bp",1,"No","Yes","No","No","No",NA,1.35629520008245,NA,1.35629520008245,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_mCMV_1","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","21bp",1,"No","Yes","No","No","No",NA,1.44078892001595,NA,1.44078892001595,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","21bp",2,"No","Yes","No","No","No",NA,1.33652945675613,NA,1.33652945675613,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_mCMV_2","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","21bp",2,"No","Yes","No","No","No",NA,1.44061673698391,NA,1.44061673698391,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","21bp",3,"No","Yes","No","No","No",NA,1.06411934169117,NA,1.06411934169117,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_mCMV_3","mCMV","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","21bp",3,"No","Yes","No","No","No",NA,0.99415978098956,NA,0.99415978098956,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","21bp",1,"No","Yes","No","No","No",NA,1.02768678277704,NA,1.02768678277704,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_minP_1","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","21bp",1,"No","Yes","No","No","No",NA,0.859102112154694,NA,0.859102112154694,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2_CDCA","pathway","HepG2","NR1H4::RXRA",1,"NR4A2::RXRA, NR1H2, RARA, RARA:RXRA, RORA, RXRA, NR1I2, THRA, THRB, NR4A1, ESRRB","AHR::ARNT_neg","10bp","21bp",2,"No","Yes","No","No","No",NA,1.51597660182307,NA,1.51597660182307,NA,NA,NA
"AHR::ARNT_neg_10bp_21bp_minP_2","minP","1+2","gcf7785","HepG2","HepG2",NA,NA,NA,NA,NA,"AHR::ARNT_neg","10bp","21bp",2,"No","Yes","No","No","No",NA,0.916855597287159,NA,0.916855597287159,NA,NA,NA
