logFC	P.Value	tf	DMSO	FK	p_adjusted	sig
1.25685278408794	2.00326634045322e-08	CEBPA	-0.261474954864061	0.995377829223878	2.87134842131628e-07	Upregulated
1.07658110698267	1.11880557400905e-06	ATF4	1.96422212766541	3.04080323464808	1.1101993772859e-05	Upregulated
-0.92817523607757	0.00139806720182435	ETS2	4.29801206574212	3.36983682966455	0.00578713653557122	Downregulated
0.876501134375279	0.00418347218453068	THRB	0.0795706045345571	0.956071738909836	0.0138376387642169	NS
-0.385198799539879	0.00557018729557888	POU2F1	1.7364858189735	1.35128701943362	0.0179638540282419	NS
-0.375154914259526	0.0283819841883719	ZFP42	-0.469284924347103	-0.844439838606629	0.0732255192059995	NS
-0.376497467257674	0.04584242394158	NFAT5	-0.31057829108334	-0.687075758341014	0.105601298008282	NS
-0.427145874914616	0.0606835636429343	PPARA::RXRA	-0.391784441728119	-0.818930316642736	0.132681012032856	NS
0.210427671471497	0.0766332090325137	RARA	-1.08565371764908	-0.875226046177586	0.159446515567649	NS
0.26892014652748	0.140949541791535	RANDOM2_2_minP	-0.742839282474758	-0.473919135947278	0.26738957192806	NS
0.17586439998783	0.190852024285701	AR	-0.876900445371894	-0.701036045384064	0.319739105621498	NS
-0.19124614600066	0.154547518250665	RANDOM1_2_minP	-0.209881036650811	-0.401127182651471	0.273104518552544	NS
-0.284899343382172	0.229548995108559	FOXO1	-0.315279621024973	-0.600178964407145	0.365578029246964	NS
-0.289381038863464	0.270769831655747	RANDOM3_2_minP	-0.113721291451465	-0.403102330314929	0.420835039561342	NS
-0.183676020988443	0.180446468928971	ZFX	-0.541132081642929	-0.724808102631373	0.30628413805049	NS
-0.181955693863279	0.173487911348192	POU5F1::SOX2	0.554630945998444	0.372675252135165	0.298399207518891	NS
0.181369454603259	0.254298505207609	RANDOM1_3_minP	-0.833244253568313	-0.651874798965054	0.400054965509531	NS
0.201804658472654	0.387824931047881	ATF6	-0.172214449508319	0.029590208964335	0.56851609210428	NS
0.127563599992745	0.618514278224745	NFIA	-0.251845511446634	-0.12428191145389	0.745685438233571	NS
0.155147096068068	0.383123304199376	RANDOM2_3_minP	-1.15546759257357	-1.0003204965055	0.56807938208873	NS
-0.125471893167861	0.688813231136812	MYBL2	-0.531497550362231	-0.656969443530092	0.779446551023235	NS
-0.0985206650310373	0.454724150479195	RANDOM2_1_minP	-0.729120462786957	-0.827641127817995	0.630746402277594	NS
0.0161486585949845	0.944445569558541	RANDOM3_1_minP	-0.398424211880264	-0.38227555328528	0.962757574480048	NS
0.13203453991976	0.521924478386031	RUNX2	-0.541141428448389	-0.409106888528629	0.689910640218504	NS
-0.142017123370536	0.46733313768609	RANDOM1_1_minP	-0.496065164941409	-0.638082288311945	0.641340157037294	NS
-0.118293205630365	0.558189231477727	ATF2	1.78842670876876	1.6701335031384	0.705945204515949	NS
-0.013096791720799	0.947831100457102	ONECUT1	-0.466049318996527	-0.479146110717326	0.962757574480048	NS
-0.100351546816979	0.679024193472821	OTX1	-0.613060487289908	-0.713412034106887	0.775169212017645	NS
-0.0960018197192019	0.648829239392614	RXRA	-0.884908729884182	-0.980910549603384	0.760622074800501	NS
0.121746402557613	0.522603165514613	RANDOM3_3_minP	-0.661112288973173	-0.53936588641556	0.689910640218504	NS
-0.257858333812568	0.544769273618401	GATA3	-0.217546969974644	-0.475405303787212	0.695794418779938	NS
-0.0566213035449738	0.719458856201693	PGR	-0.687161435004954	-0.743782738549928	0.793249508119815	NS
0.0310190120166118	0.896119651177563	STAT1	-0.736800169330279	-0.705781157313668	0.932253508079884	NS
-0.088996653859573	0.65448876203764	GRHL1	-0.408596673659009	-0.497593327518582	0.760622074800501	NS
3.57723869493068	8.79250588246439e-14	NR4A1	-2.33118586832093	1.24605282660975	5.67116629418953e-12	Upregulated
2.36585002245924	7.4875707566693e-10	STAT4	-1.82705586119608	0.538794161263166	2.41474156902585e-08	Upregulated
2.25698573212719	3.89397492061802e-09	FOS::JUN	0.858518574675407	3.1155043068026	7.17603949656749e-08	Upregulated
1.92756972106131	8.94325377257537e-09	XBP1	-1.16566386365315	0.761905857408158	1.44209967082778e-07	Upregulated
-1.23750833833485	2.02490670680226e-07	STAT1::STAT2	3.69667562458108	2.45916728624623	2.37466331979538e-06	Downregulated
1.39755588543384	0.000136109972715307	ESR1	-1.16892318908183	0.228632696352007	0.000877909324013731	Upregulated
1.47204101350143	0.000274238813159285	CEBPB	-0.99909472799897	0.472946285502458	0.00160803667716126	Upregulated
1.0872280926339	0.000395205616700916	AHR::ARNT	-1.55111587576258	-0.463887783128678	0.00212423018976742	Upregulated
0.92415649265813	0.000518616006980781	PPARG::RXRA	-2.07078912869026	-1.14663263603213	0.00267605859602083	Upregulated
0.657578282996114	0.000553818954101694	MTF1	0.615805388793774	1.27338367178989	0.00274779404150456	Upregulated
-0.544175138611972	0.000642850369861389	NRF1	3.52769374838665	2.98351860977468	0.00307139621155997	Downregulated
0.596622695448763	0.00143556875300992	FOSL1	-1.30152313003835	-0.704900434589588	0.00578713653557122	Upregulated
0.469714079569823	0.00177134863301037	SREBF1	-1.99456326941512	-1.5248491898453	0.00692436283813146	Upregulated
-0.516501284677759	0.00219731158243681	TFEB	1.04553887478292	0.52903759010516	0.0080986626895528	Downregulated
0.45820381242033	0.00364232749410988	NR1I3	-2.17863455761842	-1.72043074519809	0.0123647433352677	NS
0.694039444873148	0.00359067602159195	NR1H2	-1.64081126668618	-0.946771821813034	0.0123647433352677	NS
0.444432977464238	0.00823639779633142	SRF	-0.864902572629589	-0.420469595165351	0.0247091933889943	NS
0.429066863002484	0.0160669612490826	THRA	-1.53168753207315	-1.10262066907067	0.0460586222473701	NS
0.379397274081402	0.017306667508982	HNF1A	-2.41596198131553	-2.03656470723412	0.0485339154056234	NS
0.386647569488019	0.0256876933202361	HIF1A	-2.298371839661	-1.91172427017298	0.0676267844553155	NS
0.55330166813115	0.0457717743068152	NR1D1	-2.30093640101364	-1.74763473288249	0.105601298008282	NS
0.370474144176979	0.040122877508413	GLI1	-2.481284593796	-2.11081044961902	0.098576460107114	NS
0.460947052849336	0.0405004060905197	NFATC1	-1.95981755188422	-1.49887049903489	0.098576460107114	NS
0.611657439728455	0.0397738921758901	RANDOM2_3_mCMV	-2.67133369068186	-2.05967625095341	0.098576460107114	NS
0.384171178103827	0.044209684954109	KLF4	-2.06853818877888	-1.68436701067505	0.105601298008282	NS
0.561129246085542	0.0556652937599149	RANDOM1_3_mCMV	-2.42872864973335	-1.8675994036478	0.123807291293604	NS
-0.254915472985918	0.0658570794034005	MAF::NFE2	2.81773871848801	2.56282324550209	0.141592720717311	NS
-0.317305544908504	0.070855998336115	GATA4	-0.744846273381111	-1.06215181828962	0.149843012874735	NS
0.268018891217722	0.0946744373553954	NR1H4::RXRA	-2.08219668439178	-1.81417779317405	0.193857181251524	NS
0.450929020299176	0.105587858972294	E2F1	-2.15983990980838	-1.7089108895092	0.209551289345015	NS
0.372739793717067	0.129201788913475	POU5F1	-1.60331871688118	-1.23057892316412	0.250091756581525	NS
0.44566794802838	0.129892617759397	EGR1	-2.17426090049509	-1.72859295246671	0.250091756581525	NS
0.447234830784008	0.148392523979555	RANDOM3_2_mCMV	-1.94176841519977	-1.49453358441576	0.269614585822008	NS
0.199347620477692	0.152018045417744	GATA1	-2.56769226694002	-2.36834464646233	0.272365664706791	NS
0.300245354331013	0.146467415717931	RANDOM3_1_mCMV	-2.07147203448275	-1.77122668015174	0.269614585822008	NS
0.289180719032162	0.157255450095824	WT1	-1.57288933418157	-1.28370861514941	0.274134500842721	NS
