logFC	P.Value	tf	Norm	HS	p_adjusted	sig
1.26556073849134	7.72458274235877e-06	RXRA	-2.59531413553312	-1.32975339704179	6.64314115842854e-05	Upregulated
0.890532652392137	5.26129997216332e-05	NFIA	-2.07246950699731	-1.18193685460517	0.000357214577057404	Upregulated
1.05749896735368	0.000100939747813226	RANDOM3_2_minP	-2.32108524389711	-1.26358627654343	0.000651061373395306	Upregulated
0.874945241454115	0.000108370604744025	THRB	-2.03281645379274	-1.15787121233863	0.000665705143427582	Upregulated
0.723025883906339	0.00139089732222092	PPARA::RXRA	-2.33385581930713	-1.61082993540079	0.00717703018265996	Upregulated
0.617413799841586	0.00229059927997507	RUNX2	-1.56858831285356	-0.951174513011979	0.0109439743376586	NS
-0.336953873607521	0.00267605810686597	ELK1_A	3.83440559810626	3.49745172449874	0.0119038446822659	NS
0.603311557670227	0.00285063444945483	ATF6	-2.13873780240093	-1.5354262447307	0.0122577281326558	NS
0.689266692069588	0.00406429652536007	POU2F1	-0.00260274431279661	0.686663947756792	0.0166064960844178	NS
0.578158065449463	0.00425591091368813	RANDOM3_1_minP	-2.16607794499592	-1.58791987954646	0.016636742662599	NS
0.741121616803629	0.00475252033373973	SREBF1	-2.05941057324956	-1.31828895644593	0.0175164320872121	NS
0.724594152676749	0.00513809369842362	RARA	-2.71865286166564	-1.99405870898889	0.0184115024193513	NS
0.570603160459504	0.00534804669368282	AR	-2.53478572153552	-1.96418256107601	0.0186458925266239	NS
0.594640522743016	0.00821912110561579	MYBL2	-2.43794346687353	-1.84330294413052	0.0279017532269589	NS
0.684832251286803	0.0118030258701024	WT1	-2.15803995058904	-1.47320769930223	0.0371363496888587	NS
0.801575208654261	0.0148321205351958	NR1I3	-2.22994222315622	-1.42836701450196	0.0434850806600059	NS
0.440646491104884	0.0222996610481025	PGR	-2.32431059525	-1.88366410414511	0.0622190697342793	NS
0.61339337668898	0.0231465351563703	NR3C2	-2.0641017798274	-1.45070840313842	0.0622190697342793	NS
0.547646917114215	0.0277610692140867	AHR::ARNT	-1.77277533787821	-1.225128420764	0.0688688063195613	NS
0.495392224695992	0.0352806354190757	RANDOM2_3_minP	-2.24296700540278	-1.74757478070679	0.081271463733228	NS
0.536323096077032	0.0436582985732731	RANDOM2_1_minP	-2.39163263853967	-1.85530954246264	0.0954562799313937	NS
0.488053405243557	0.042205103277438	HIF1A	-2.27926908125946	-1.7912156760159	0.0938699710825776	NS
0.509606170730828	0.066373516891769	OTX1	-2.49408641788572	-1.9844802471549	0.120594136324482	NS
0.449954027340119	0.073642424096803	ONECUT1	-1.87405474921901	-1.42410072187889	0.128376658222805	NS
0.394761607025847	0.0940502432746923	GRHL1	-2.11667944830307	-1.72191784127722	0.155544633108145	NS
0.378066343058191	0.109488084144625	RANDOM1_1_minP	-2.21338636430422	-1.83532002124603	0.170367716454755	NS
0.367262860634976	0.133433753535182	RANDOM1_3_minP	-2.34604901000701	-1.97878614937204	0.202505343600453	NS
-0.220889596253563	0.184870443451037	ETS2	3.31015500627681	3.08926541002325	0.259220513099823	NS
0.320954957047667	0.154257389870109	RANDOM3_3_minP	-2.10416257285473	-1.78320761580706	0.228726474634989	NS
0.366150862865894	0.150943480467567	RANDOM2_2_minP	-2.30222208193989	-1.936071219074	0.22641522070135	NS
0.366513071404309	0.189021573687305	RANDOM1_2_minP	-2.20671338811567	-1.84020031671136	0.262191215114649	NS
-0.208914001706558	0.232643865576199	ATF2	0.484841407695733	0.275927405989175	0.31463623753435	NS
0.267065363350756	0.234147897699981	ZFP42	-2.48952492835323	-2.22245956500248	0.31463623753435	NS
0.215918457103704	0.259536188222237	STAT1	-1.25348585534317	-1.03756739823947	0.345156374027512	NS
0.267581312352398	0.332481951253265	ATF4	1.05819786892556	1.32577918127796	0.424655165462091	NS
0.148181982205669	0.536641943415119	CEBPA	-1.83239940250125	-1.68421742029558	0.635108355050921	NS
-0.015806175749193	0.911807404145735	GATA4	-1.02505519288832	-1.04086136863752	0.948573831732257	NS
7.16262846754891	1.65473443457748e-81	HSF1	-2.22244344848959	4.94018501905931	2.13460742060494e-79	Upregulated
-1.65573653346148	3.23732084165869e-16	REL	2.89234123866412	1.23660470520264	2.08807194286985e-14	Downregulated
-1.55760615347697	7.50234039638554e-14	ELK1_B	2.93178222342877	1.37417606995181	3.22600637044578e-12	Downregulated
-1.54405072435863	3.27932636164411e-13	MAF::NFE2	2.81505826421384	1.27100753985521	1.05758275163023e-11	Downregulated
-1.35819664365716	5.73462280194943e-12	NRF1	3.14093320554823	1.78273656189107	1.47953268290295e-10	Downregulated
-1.1722409787058	2.36323188966327e-09	STAT1::STAT2	3.39339010928694	2.22114913058114	4.35509876809375e-08	Downregulated
1.05931448204841	9.66169983320961e-08	EGR1	-2.32600568293653	-1.26669120088811	1.38484364276004e-06	Upregulated
-0.950011240778837	2.39269264135301e-07	FOS::JUN	1.31269301264306	0.36268177186422	3.08657350734539e-06	Downregulated
-0.930961675923804	3.4092188355746e-06	TFEB	0.00666244354271499	-0.924299232381089	3.38299407530095e-05	Downregulated
-0.842368526685451	4.52121673803817e-06	TP53	-0.257034272410129	-1.09940279909558	4.16597828004946e-05	Downregulated
-0.562399462384277	0.00241441108312548	GATA3	-1.8928892773024	-2.45528873968668	0.0111235367758281	NS
-0.503089547742893	0.00443706458888801	FOSL1	-1.77036512355104	-2.27345467129394	0.0168347450578398	NS
-0.455479980823412	0.00992919026181807	NR5A2	-2.0940081620058	-2.54948814282921	0.0320216385943633	NS
-0.4591939697335	0.0140991858582712	NFYA	-1.07458317176055	-1.53377714149405	0.0422975575748135	NS
-0.429956722700351	0.0161091483108468	XBP1	-1.4131671881208	-1.84312391082115	0.0461795584910942	NS
-0.414769694784199	0.0274675074154648	GLI1	-2.6542776143523	-3.0690473091365	0.0688688063195613	NS
-0.374996823755044	0.0309023966776224	MTF1	0.17207999922378	-0.202916824531263	0.0752152673851564	NS
-0.433047118549626	0.0351224683374761	CEBPB	-1.59896876846607	-2.0320158870157	0.081271463733228	NS
-0.3898732218097	0.0395825498462812	TCF7	-2.23500638680856	-2.62487960861826	0.0895815601784258	NS
-0.364069663868727	0.0451993168718459	FOXA1	-1.97747797641743	-2.34154764028616	0.0955854405978381	NS
-0.350993230981883	0.05145578949511	IRF1	-1.64869727971002	-1.99969051069191	0.105054230775323	NS
-0.356216437625259	0.0530047371804057	NFAT5	-2.16076182694498	-2.51697826457024	0.105194016865728	NS
-0.354750580715894	0.0564183871913119	E2F1	-1.91156155673001	-2.2663121374459	0.108626446980287	NS
-0.346942827718184	0.0554097047231386	MYC	-1.84557157628121	-2.1925144039994	0.108300786504316	NS
-0.355787111523302	0.0574463915093897	RANDOM3_3_mCMV	-2.20895504383972	-2.56474215536302	0.108979183892813	NS
0.334731823378477	0.0645707538159539	TFAP2A	-2.30485914394385	-1.97012732056537	0.120594136324482	NS
