tf,condition,primetime_logFC,chromVAR_dif,primetime_sign,chromVAR_sign,primetime_pval_adj,chromVAR_pval_adj
AHR::ARNT,Chiron_removal,-0.143413457053819,-0.002634530529048764,NS,NS,0.908130000950612,0.8497811102305951
AHR::ARNT,FOXA1_overexpression,0.328294657978282,0.017273016234603467,NS,NS,0.92869572764428,0.37136400016272536
AHR::ARNT,LIF_removal_24h,-0.306137016034605,0.013034686202361213,NS,NS,0.624311823964817,0.1503724884537
AHR::ARNT,POU5F1_degradation,-0.22756029238387,0.012813771836790054,NS,NS,0.652642869048641,0.07102922310545597
AHR::ARNT,SOX2_degradation,-0.397736064830295,0.027462364559136386,NS,Upregulated,0.311129664481955,2.78763776529796e-4
AHR::ARNT,Serum,-0.278201607391952,0.009896770314245538,NS,NS,0.220945763555256,0.6228426789254291
AHR::ARNT,Forskolin,-0.126518026430182,0.013275096943552701,NS,NS,0.664735117957934,0.6538655945188654
AHR::ARNT,Heat_shock,-0.108523637172716,0.022144138431843027,NS,Upregulated,0.569265210173949,0.01560050461754667
AHR::ARNT,LIF_removal_1h,-0.525085759967338,0.0033919886816496467,NS,NS,0.902470035765118,0.9968723756132148
AHR::ARNT,LIF_removal_3h,0.0728168753597656,0.009009920985969082,NS,NS,0.941411719001189,0.9999437632103492
AHR::ARNT,LIF_removal_6h,0.172306887596952,0.006631016738403661,NS,NS,0.585474944051297,0.9953257592195215
AHR::ARNT,mNPC_differentiation,-0.215376817243776,0.014652767968920994,NS,NS,0.310326328757336,0.05950974163464184
AHR::ARNT,TFCP2L1_knockdown,0.224621619326697,0.02280616170062482,NS,NS,0.407557745794002,0.11108059895280294
AR,Chiron_removal,-0.0412839618756966,0.009627706068886507,NS,NS,0.968371354433597,0.7106267633892247
AR,FOXA1_overexpression,0.861779721941016,-0.004343879286795475,NS,NS,0.789720059729306,0.9305439347694887
AR,LIF_removal_24h,0.329265700542341,7.441278328868851e-4,NS,NS,0.768745598943699,0.9565755099308947
AR,POU5F1_degradation,-0.828312213882648,0.015219093855317296,NS,NS,0.252296003771503,0.3224486243518306
AR,SOX2_degradation,0.544500415062547,0.003460909228002648,NS,NS,0.571482764304678,0.8181267668698308
AR,Serum,0.0955613861587954,-0.005381271930240759,NS,NS,0.722563468863308,0.9620263281339205
AR,Forskolin,-0.15249881424066,0.00668378026039417,NS,NS,0.596195974639501,0.9714745828818446
AR,Heat_shock,0.749759893664163,-0.028824318410926864,Upregulated,NS,8.02064187682987e-5,0.13537854695810356
AR,LIF_removal_1h,0.294388301969924,0.001643086905918501,NS,NS,0.932201579881635,0.9968723756132148
AR,LIF_removal_3h,0.0379192367321269,0.010496037385936338,NS,NS,0.962348152841308,0.9999437632103492
AR,LIF_removal_6h,0.318128525561585,0.013608706233205868,NS,NS,0.45859884875666,0.9953257592195215
AR,mNPC_differentiation,0.564975223893727,-0.021986752095515066,NS,NS,0.0111585100807568,0.1719976354077599
AR,TFCP2L1_knockdown,0.275924355036773,0.010159246668263181,NS,NS,0.357129154853888,0.9505540340835739
ATF2,Chiron_removal,0.236525043943328,-0.0065122270949599225,NS,NS,0.908130000950612,0.8497811102305951
ATF2,FOXA1_overexpression,0.577136501420924,0.04668660784065236,NS,NS,0.922631756910257,0.3715275527161268
ATF2,LIF_removal_24h,0.707574981263899,0.016919629581411313,NS,NS,0.392037494231172,0.5775636095883774
ATF2,POU5F1_degradation,-0.490708114323791,0.08419000746046205,NS,Upregulated,0.620399033732159,2.5461816368538753e-4
ATF2,SOX2_degradation,-0.754690920877808,0.0903410920532228,NS,Upregulated,0.323968297792402,6.694112434519604e-5
ATF2,Serum,0.386199157640155,0.017035702003075272,NS,NS,0.048821198910752,0.8578210261895437
ATF2,Forskolin,0.069894176883494,0.020263945725747506,NS,NS,0.800456935908377,0.8252907715568145
ATF2,Heat_shock,0.278040371512567,0.02585619134802257,NS,NS,0.180504366766146,0.34912951909587797
ATF2,LIF_removal_1h,-0.147567744710529,-1.45436097512823e-4,NS,NS,0.932201579881635,0.9968723756132148
ATF2,LIF_removal_3h,0.160221336465406,0.0028864175229185475,NS,NS,0.884335268735684,0.9999437632103492
ATF2,LIF_removal_6h,0.134900528243749,0.007901430624149889,NS,NS,0.705556703168765,0.9953257592195215
