tf,condition,primetime_logFC,chromVAR_dif,tobias_logFC,primetime_sign,chromVAR_sign,tobias_sign,primetime_pval_adj,chromVAR_pval_adj,tobias_pvalue
AHR::ARNT,Chiron_removal,-0.143413457053819,-0.002649559880394592,0.01126,NS,NS,NS,0.908130000950612,0.849032979238393,1.16512e-15
AHR::ARNT,FOXA1_overexpression,0.328294657978282,0.014248456437556938,-0.02066,NS,NS,Downregulated,0.92869572764428,0.18858150492632292,2.65174e-19
AHR::ARNT,LIF_removal_24h,-0.306137016034605,0.013189112856350004,0.02708,NS,NS,NS,0.624311823964817,0.14671534321325785,2.14814e-48
AHR::ARNT,POU5F1_degradation,-0.22756029238387,0.012751616808442803,0.13657,NS,NS,NS,0.652642869048641,0.07270810770695665,4.87084e-106
AHR::ARNT,SOX2_degradation,-0.397736064830295,0.027490341256044305,0.14072,NS,Upregulated,NS,0.311129664481955,2.966516391011139e-4,5.6935e-111
AHR::ARNT,Serum,-0.278201607391952,0.010019659292600874,0.05456,NS,NS,NS,0.220945763555256,0.6180134095865403,2.37996e-70
AHR::ARNT,Forskolin,-0.126518026430182,0.013214586945465038,0.08849,NS,NS,NS,0.664735117957934,0.67589823935099,3.15971e-88
AHR::ARNT,Heat_shock,-0.108523637172716,0.022043217355125173,0.13993,NS,Upregulated,NS,0.569265210173949,0.016914099468669428,2.3688699999999995e-103
AHR::ARNT,LIF_removal_1h,-0.525085759967338,0.0035452865080661186,0.04383,NS,NS,NS,0.902470035765118,0.9967208797546465,1.2008099999999999e-54
AHR::ARNT,LIF_removal_3h,0.0728168753597656,0.00925851114958454,0.05034,NS,NS,NS,0.941411719001189,0.9990609479484573,3.23916e-59
AHR::ARNT,LIF_removal_6h,0.172306887596952,0.006709557530265449,0.07051,NS,NS,NS,0.585474944051297,0.9972264321673686,9.82496e-74
AHR::ARNT,mNPC_differentiation,-0.215376817243776,0.014446464230162652,0.08965,NS,NS,NS,0.310326328757336,0.06523491577306635,1.9277e-89
AHR::ARNT,TFCP2L1_knockdown,0.224621619326697,0.02296519300143651,0.10027,NS,NS,NS,0.407557745794002,0.11011455457640937,8.93674e-90
AHR::ARNT,Forskolin_stimulation_NPC_24h,0.511137189160972,0.003455560082750551,-0.04641,NS,NS,Downregulated,0.0604082121901965,0.9667729220897776,1.5363699999999998e-57
AHR::ARNT,Forskolin_stimulation_NPC_4h,0.301327285567696,0.005820065864371003,-0.04152,NS,NS,Downregulated,0.303350380950663,0.984794634191944,1.78015e-49
AHR::ARNT,Heat_shock_NPC,0.547646917114215,0.011405459703939087,-0.1023,NS,NS,Downregulated,0.0688688063195613,0.29108057616928135,1.31689e-91
AR,Chiron_removal,-0.0412839618756966,0.009573973759713597,-0.0274,NS,NS,Downregulated,0.968371354433597,0.7113708224802776,2.2902100000000002e-26
AR,FOXA1_overexpression,0.861779721941016,-0.0036003257736025376,0.01175,NS,NS,NS,0.789720059729306,0.8370377253209992,9.17019e-4
AR,LIF_removal_24h,0.329265700542341,4.419223899572314e-4,0.00109,NS,NS,NS,0.768745598943699,0.9742796780951672,0.631807
AR,POU5F1_degradation,-0.828312213882648,0.015113207355493647,-0.10125,NS,NS,Downregulated,0.252296003771503,0.32458443531237846,1.88338e-75
AR,SOX2_degradation,0.544500415062547,0.003097564725621991,-0.09406,NS,NS,Downregulated,0.571482764304678,0.8427805047208303,1.7478500000000001e-68
AR,Serum,0.0955613861587954,-0.0054342172417402,-0.03391,NS,NS,Downregulated,0.722563468863308,0.9517175066834885,3.44213e-27
AR,Forskolin,-0.15249881424066,0.0065291981092954,-0.05754,NS,NS,Downregulated,0.596195974639501,0.9681364143246259,2.37311e-43
AR,Heat_shock,0.749759893664163,-0.028806496644572997,-0.03484,Upregulated,NS,Downregulated,8.02064187682987e-5,0.1373186540427959,2.67795e-23
AR,LIF_removal_1h,0.294388301969924,0.0018311151920778748,-0.0455,NS,NS,Downregulated,0.932201579881635,0.9967208797546465,1.1656699999999999e-32
AR,LIF_removal_3h,0.0379192367321269,0.010824927701406497,-0.07617,NS,NS,Downregulated,0.962348152841308,0.9990609479484573,4.2892799999999997e-51
AR,LIF_removal_6h,0.318128525561585,0.013574254598321494,-0.02705,NS,NS,Downregulated,0.45859884875666,0.9972264321673686,3.58003e-18
AR,mNPC_differentiation,0.564975223893727,-0.02262052068098211,-0.02523,NS,NS,Downregulated,0.0111585100807568,0.1607094395889738,5.62807e-22
AR,TFCP2L1_knockdown,0.275924355036773,0.009986533033598274,-0.02452,NS,NS,Downregulated,0.357129154853888,0.9451855424841861,1.02312e-13
AR,Forskolin_stimulation_NPC_24h,-0.108733414297797,0.003009298738347233,0.04672,NS,NS,NS,0.936313341342127,0.9667729220897776,1.40768e-34
AR,Forskolin_stimulation_NPC_4h,0.187063450136398,0.010156991705943792,0.06349,NS,NS,NS,0.550124400626186,0.9666094390764637,1.2861700000000001e-41
AR,Heat_shock_NPC,0.570603160459504,-0.02704127366126719,0.00169,NS,NS,NS,0.0186458925266239,0.0974496990246508,0.332135
ATF2,Chiron_removal,0.236525043943328,-0.006239647580472416,-0.08804,NS,NS,Downregulated,0.908130000950612,0.8586879062073746,1.5089200000000002e-70
ATF2,FOXA1_overexpression,0.577136501420924,0.024811844774856057,-0.02404,NS,NS,Downregulated,0.922631756910257,0.7747498597074288,1.61647e-17
ATF2,LIF_removal_24h,0.707574981263899,0.016930242003281658,-0.09315,NS,NS,Downregulated,0.392037494231172,0.579930792618031,2.6836900000000003e-70
ATF2,POU5F1_degradation,-0.490708114323791,0.08375588925997743,0.2446,NS,Upregulated,NS,0.620399033732159,2.9210031938238593e-4,5.19904e-113
ATF2,SOX2_degradation,-0.754690920877808,0.09023941505987584,0.23746,NS,Upregulated,NS,0.323968297792402,7.310141407092974e-5,6.95702e-119
ATF2,Serum,0.386199157640155,0.016840377957536415,0.12146,NS,NS,NS,0.048821198910752,0.8585517871460399,3.03058e-87
ATF2,Forskolin,0.069894176883494,0.020155912292300307,0.09355,NS,NS,NS,0.800456935908377,0.8351111067758511,4.9296399999999996e-71
ATF2,Heat_shock,0.278040371512567,0.025844143820227546,0.08906,NS,NS,NS,0.180504366766146,0.3530161867622956,2.9716599999999997e-66
ATF2,LIF_removal_1h,-0.147567744710529,-3.5652898765047014e-4,0.03052,NS,NS,NS,0.932201579881635,0.9967208797546465,1.0476000000000001e-31
ATF2,LIF_removal_3h,0.160221336465406,0.002924012336893756,0.05738,NS,NS,NS,0.884335268735684,0.9990609479484573,4.52722e-47
ATF2,LIF_removal_6h,0.134900528243749,0.00762401653134611,-0.02189,NS,NS,Downregulated,0.705556703168765,0.9972264321673686,1.02698e-17
ATF2,mNPC_differentiation,2.60945328839663,0.11175790441429531,0.14341,Upregulated,Upregulated,NS,7.57576591702512e-17,1.7743934753942828e-5,1.09159e-90
ATF2,TFCP2L1_knockdown,-0.0291447847583985,0.023693785839047722,0.0392,NS,NS,NS,0.949428193153183,0.9451855424841861,2.4980599999999997e-40
ATF2,Forskolin_stimulation_NPC_24h,-0.543317448594142,0.012826061247367966,-0.01861,NS,NS,Downregulated,0.0365654488192946,0.9667729220897776,3.43223e-17
ATF2,Forskolin_stimulation_NPC_4h,0.623979699482893,0.02828993958280862,0.03682,Upregulated,NS,NS,0.00179545932968676,0.6862259066227678,1.8840699999999998e-29
ATF2,Heat_shock_NPC,-0.208914001706558,0.06585846651563473,-0.06478,NS,Upregulated,Downregulated,0.31463623753435,0.005107941297101158,1.08997e-50
ATF4,Chiron_removal,0.0332175947217956,-0.015920006931942232,-0.09561,NS,NS,Downregulated,0.908130000950612,0.624823844522862,4.4970400000000006e-70
ATF4,FOXA1_overexpression,-0.436733079575817,0.02018065532011423,0.04843,NS,NS,NS,0.82062655765857,0.4398927525756454,2.0569999999999998e-33
ATF4,LIF_removal_24h,0.351381897344822,0.006657135549507448,-0.07433,NS,NS,Downregulated,0.0706582714740318,0.8513529197036497,9.32866e-58
ATF4,POU5F1_degradation,-0.449969740021172,0.09582197517814497,0.20261,NS,Upregulated,NS,0.252296003771503,1.0406500647112954e-5,5.732279999999999e-107
ATF4,SOX2_degradation,1.28125915421513,0.09541276464790274,0.25431,Upregulated,Upregulated,NS,9.6277852818743e-8,6.995515164828863e-6,1.4924299999999998e-118
ATF4,Serum,0.384687994919952,0.025270362236141687,0.10768,NS,NS,NS,0.0264525969243475,0.6180134095865403,9.97331e-73
ATF4,Forskolin,0.418099212631292,0.024884191001407742,0.08199,NS,NS,NS,0.0433957529662045,0.8015285467688589,2.86657e-62
ATF4,Heat_shock,-0.209300775278994,0.06344682645042696,0.11874,NS,Upregulated,NS,0.190069381960383,0.006200108932616141,6.461e-75
ATF4,LIF_removal_1h,-0.206327399737551,0.004971449161410631,0.03985,NS,NS,NS,0.918319072311947,0.9967208797546465,6.410449999999999e-28
ATF4,LIF_removal_3h,-0.0717320582250654,0.006503710450432677,0.03564,NS,NS,NS,0.928017973129343,0.9990609479484573,3.1569000000000004e-25
ATF4,LIF_removal_6h,-0.0418863870121654,0.011870775330728403,-0.01162,NS,NS,Downregulated,0.876253386824243,0.9972264321673686,2.26186e-8
ATF4,mNPC_differentiation,-0.345252547783838,0.11557598339451855,0.16927,NS,Upregulated,NS,0.0897862492600027,1.4985187697246868e-6,2.2139e-100
ATF4,TFCP2L1_knockdown,-0.00649045948425098,0.02031532906710154,0.03479,NS,NS,NS,0.994241358064554,0.9451855424841861,6.94321e-30
ATF4,Forskolin_stimulation_NPC_24h,0.484719035810562,0.013668900800482553,0.02541,NS,NS,NS,0.0995030209927046,0.9667729220897776,1.3979299999999999e-27
ATF4,Forskolin_stimulation_NPC_4h,0.447848274755205,0.035472290523611144,0.02913,NS,NS,NS,0.080757011759883,0.3646584002741777,9.54613e-23
ATF4,Heat_shock_NPC,0.267581312352398,0.07622595341719993,0.05097,NS,Upregulated,NS,0.424655165462091,0.0017061946331436097,1.2610500000000001e-33
ATF6,Chiron_removal,0.0859203222272394,-0.00706768952970399,-0.02669,NS,NS,Downregulated,0.908130000950612,0.7530667305908444,5.2644800000000004e-24
ATF6,FOXA1_overexpression,0.586997578970789,0.013844360280132369,-0.03196,NS,NS,Downregulated,0.789720059729306,0.7747498597074288,7.094520000000001e-18
ATF6,LIF_removal_24h,-0.0366274100686756,0.008443581049349103,-0.04299,NS,NS,Downregulated,0.980345129532246,0.7008808153459658,7.31705e-45
ATF6,POU5F1_degradation,0.870714888477544,0.019623786908735914,0.12548,NS,NS,NS,0.0755353404880841,0.1442379168314173,8.75966e-83
ATF6,SOX2_degradation,1.23597555756838,0.04324181138172527,0.16572,Upregulated,Upregulated,NS,2.18467743528801e-5,0.0015424481819951126,3.2889e-98
ATF6,Serum,0.334204205222628,0.0028153093955123427,0.03557,NS,NS,NS,0.0602543432567036,0.9517175066834885,8.96782e-35
ATF6,Forskolin,1.13864819330107,0.026512807119862626,0.03658,Upregulated,NS,NS,8.67975065446629e-8,0.67589823935099,1.18362e-35
ATF6,Heat_shock,-0.554986946246092,-3.548786791897976e-4,0.05511,Downregulated,NS,NS,0.00206112210525314,0.989656590604974,8.40973e-43
ATF6,LIF_removal_1h,-0.523419568717997,-0.003672026386843835,-0.00819,NS,NS,Downregulated,0.758425703361982,0.9967208797546465,4.70183e-4
ATF6,LIF_removal_3h,0.00859032264789372,0.001878962485693048,0.01015,NS,NS,NS,0.984763658191153,0.9990609479484573,1.56801e-7
ATF6,LIF_removal_6h,-0.109879388014416,-0.001299078412873687,0.03028,NS,NS,NS,0.707654528191483,0.9972264321673686,6.21703e-22
ATF6,mNPC_differentiation,-0.813184163825669,0.034931146344952695,0.11212,Downregulated,Upregulated,NS,3.5274069404266e-4,0.02039605378233441,1.76919e-80
ATF6,TFCP2L1_knockdown,0.208362286593154,0.0068107754494831476,0.00481,NS,NS,NS,0.418148666035748,0.9451855424841861,5.87119e-5
ATF6,Forskolin_stimulation_NPC_24h,0.203927355613143,-0.0025305091442840294,-0.01791,NS,NS,Downregulated,0.763458905507052,0.9667729220897776,6.31885e-13
ATF6,Forskolin_stimulation_NPC_4h,0.627457777482478,0.01489114645533355,0.00261,NS,NS,NS,0.0411996026350158,0.6903964526181828,0.324951
ATF6,Heat_shock_NPC,0.603311557670227,-0.009044966697345926,-0.12693,NS,NS,Downregulated,0.0122577281326558,0.557000889734654,3.10526e-71
CEBPA,Chiron_removal,-0.182771238353846,0.002222270897117986,-0.02879,NS,NS,Downregulated,0.908130000950612,0.9291199963894756,1.54437e-24
CEBPA,FOXA1_overexpression,-0.782237679464532,0.07502946719923631,0.10617,NS,NS,NS,0.789720059729306,0.4788353239860636,1.2283899999999999e-54
CEBPA,LIF_removal_24h,0.0405329118211827,0.03638837834527881,-0.01694,NS,NS,Downregulated,0.988405941782305,0.18757626227424531,3.35122e-18
CEBPA,POU5F1_degradation,-0.332502448380041,0.061789765481418235,-0.29645,NS,Upregulated,Downregulated,0.701636315408747,0.006785024355276414,7.987209999999999e-115
CEBPA,SOX2_degradation,1.26155198200388,0.07076365559683587,-0.17868,NS,Upregulated,Downregulated,0.102761924022039,0.0013831796537057074,1.01058e-92
CEBPA,Serum,0.0169771826184666,0.01225388366896948,-0.01666,NS,NS,Downregulated,0.950041600602559,0.916538091579,7.90746e-8
CEBPA,Forskolin,-0.0225676684881397,0.019404535264154834,-0.00993,NS,NS,Downregulated,0.927057200252658,0.8360084871427297,0.00163199
